10000,[1.17204173 0.74789315],[1.20836438 0.80793949],[1.23880824 0.86173117],[1.26281686 0.9134837 ],[1.27542763 0.96350249],[1.27861919 1.0128357 ],[1.27934375 1.06309521],[1.27286439 1.11347805],[1.25812928 1.16376901]
20000,[1.17204173 0.74789315],[1.23178557 0.80851767],[1.28299301 0.85918952],[1.32462252 0.90819606],[1.34983196 0.95708739],[1.34586902 1.00593548],[1.31210857 1.05451333],[1.26601441 1.10277602],[1.21707493 1.15079042]
30000,[1.17204173 0.74789315],[1.20448778 0.81203935],[1.23458588 0.86498654],[1.26304554 0.91540228],[1.28424855 0.96444856],[1.29915792 1.0124983 ],[1.31652743 1.0622532 ],[1.33931334 1.11135645],[1.36014936 1.16025706]
40000,[1.17204173 0.74789315],[1.19930149 0.81205085],[1.22400596 0.8648693 ],[1.24815807 0.91524465],[1.27250691 0.96508293],[1.29426366 1.01412957],[1.31263922 1.06381352],[1.33981274 1.11344158],[1.37104827 1.1624403 ]
50000,[1.17204173 0.74789315],[1.15987375 0.80265534],[1.15806163 0.85686504],[1.16733752 0.91014123],[1.18615183 0.96234017],[1.20988216 1.01304429],[1.23788171 1.06276773],[1.2690855  1.11189781],[1.30286477 1.16051946]
60000,[1.17204173 0.74789315],[1.14057256 0.84170399],[1.1678392  0.79217254],[1.16584749 0.79278845],[1.15731948 0.83943486],[1.15456558 0.88821056],[1.17724039 0.93669594],[1.22541637 1.0077882 ],[1.25448192 1.06461998]
70000,[1.17204173 0.74789315],[1.16180492 0.81656749],[1.1575325  0.86791253],[1.17725068 0.91838063],[1.21084733 0.96812066],[1.25221816 1.01752877],[1.29382127 1.06531509],[1.34195872 1.11411908],[1.39090027 1.16294511]
80000,[1.17204173 0.74789315],[1.21740859 0.81331631],[1.25525311 0.86599651],[1.28208358 0.91799678],[1.30928146 0.96437905],[1.32913189 1.01274342],[1.35700236 1.06549309],[1.38746119 1.12228293],[1.43655254 1.17202426]
90000,[1.17204173 0.74789315],[1.22450425 0.81402524],[1.25754765 0.86671872],[1.28743898 0.91825677],[1.32273469 0.96538506],[1.37053739 1.01235027],[1.41920075 1.06272587],[1.45957186 1.1135    ],[1.47047788 1.15901681]
100000,[1.17204173 0.74789315],[1.21681151 0.8151349 ],[1.2469554  0.86658978],[1.26509898 0.91198679],[1.30016002 0.95822258],[1.33182039 1.00463839],[1.35162099 1.05561258],[1.35293896 1.10829178],[1.33713073 1.16089467]
110000,[1.17204173 0.74789315],[1.19819048 0.80017633],[1.19242658 0.8351297 ],[1.19010941 0.86813383],[1.19970934 0.90771928],[1.22960487 0.95365024],[1.26717147 0.99653499],[1.29298643 1.03968976],[1.30295882 1.08785762]
120000,[1.17204173 0.74789315],[1.19975576 0.79992388],[1.19283886 0.83172281],[1.18446059 0.85602699],[1.18057165 0.87749239],[1.18049926 0.91128525],[1.18324484 0.94924828],[1.19577607 0.99431897],[1.21720558 1.04353088]
130000,[1.17204173 0.74789315],[1.10696746 0.7246137 ],[1.04487663 0.70715775],[1.04991468 0.73170974],[1.08133682 0.7639835 ],[1.06251627 0.80205545],[1.0164485  0.88960929],[1.07209141 0.94893681],[1.12861157 0.99571653]
140000,[1.17204173 0.74789315],[1.22276278 0.78702788],[1.26959036 0.83441192],[1.26139293 0.83709824],[1.30596649 0.88671632],[1.284733   0.87069691],[1.29180661 0.8965132 ],[1.28613123 0.88787352],[1.27314846 0.89895428]
150000,[1.17204173 0.74789315],[1.22284029 0.78702809],[1.26980599 0.83440964],[1.26174032 0.83703399],[1.3066224  0.88665879],[1.28575958 0.87045858],[1.29259291 0.89582765],[1.28756181 0.8872155 ],[1.27454769 0.897921  ]
160000,[1.17204173 0.74789315],[1.2370088  0.81200467],[1.26058069 0.86691519],[1.25917262 0.90731478],[1.25210991 0.94165297],[1.24972665 0.97924921],[1.24832224 1.01342918],[1.24441288 1.04584961],[1.24061213 1.08865039]
170000,[1.17204173 0.74789315],[1.22590768 0.81567637],[1.24951524 0.86333683],[1.25023122 0.89506796],[1.24784558 0.92734089],[1.24689999 0.96019086],[1.24856762 0.99664633],[1.24803571 1.03678433],[1.24542272 1.0828125 ]
