10,[1.17204173 0.74789315 0.55890028],[1.23941409 0.69159912 0.63935196],[1.28242203 0.63764562 0.69935488],[1.32047734 0.57830791 0.74730683],[1.33808239 0.52204052 0.78997676],[1.36410694 0.46691377 0.83565965],[1.40388738 0.41400753 0.8848885 ],[1.45331942 0.36520878 0.93581723],[1.50284079 0.31629166 0.98644406]
20,[1.17204173 0.74789315 0.55890028],[1.23941409 0.69159912 0.63935196],[1.28242203 0.63764562 0.69935488],[1.32047734 0.57830791 0.74730683],[1.33808239 0.52204052 0.78997676],[1.36410694 0.46691377 0.83565965],[1.40388738 0.41400753 0.8848885 ],[1.45331942 0.36520878 0.93581723],[1.50284079 0.31629166 0.98644406]
30,[1.17204173 0.74789315 0.55890028],[1.23941409 0.69159912 0.63935196],[1.28242203 0.63764562 0.69935488],[1.32047734 0.57830791 0.74730683],[1.33808239 0.52204052 0.78997676],[1.36410694 0.46691377 0.83565965],[1.40388738 0.41400753 0.8848885 ],[1.45331942 0.36520878 0.93581723],[1.50284079 0.31629166 0.98644406]
40,[1.17204173 0.74789315 0.55890028],[1.23941409 0.69159912 0.63935196],[1.28242203 0.63764562 0.69935488],[1.32047734 0.57830791 0.74730683],[1.33808239 0.52204052 0.78997676],[1.36410694 0.46691377 0.83565965],[1.40388738 0.41400753 0.8848885 ],[1.45331942 0.36520878 0.93581723],[1.50284079 0.31629166 0.98644406]
50,[1.17204173 0.74789315 0.55890028],[1.23941409 0.69159912 0.63935196],[1.28242203 0.63764562 0.69935488],[1.32047734 0.57830791 0.74730683],[1.33808239 0.52204052 0.78997676],[1.36410694 0.46691377 0.83565965],[1.40388738 0.41400753 0.8848885 ],[1.45331942 0.36520878 0.93581723],[1.50284079 0.31629166 0.98644406]
60,[1.17204173 0.74789315 0.55890028],[1.23941409 0.69159912 0.63935196],[1.28242203 0.63764562 0.69935488],[1.32047734 0.57830791 0.74730683],[1.33808239 0.52204052 0.78997676],[1.36410694 0.46691377 0.83565965],[1.40388738 0.41400753 0.8848885 ],[1.45331942 0.36520878 0.93581723],[1.50284079 0.31629166 0.98644406]
70,[1.17204173 0.74789315 0.55890028],[1.23941409 0.69159912 0.63935196],[1.28242203 0.63764562 0.69935488],[1.32047734 0.57830791 0.74730683],[1.33808239 0.52204052 0.78997676],[1.36410694 0.46691377 0.83565965],[1.40388738 0.41400753 0.8848885 ],[1.45331942 0.36520878 0.93581723],[1.50284079 0.31629166 0.98644406]
80,[1.17204173 0.74789315 0.55890028],[1.23941409 0.69159912 0.63935196],[1.28242203 0.63764562 0.69935488],[1.32047734 0.57830791 0.74730683],[1.33808239 0.52204052 0.78997676],[1.36410694 0.46691377 0.83565965],[1.40388738 0.41400753 0.8848885 ],[1.45331942 0.36520878 0.93581723],[1.50284079 0.31629166 0.98644406]
90,[1.17204173 0.74789315 0.55890028],[1.23941409 0.69159912 0.63935196],[1.28242203 0.63764562 0.69935488],[1.32047734 0.57830791 0.74730683],[1.33808239 0.52204052 0.78997676],[1.36410694 0.46691377 0.83565965],[1.40388738 0.41400753 0.8848885 ],[1.45331942 0.36520878 0.93581723],[1.50284079 0.31629166 0.98644406]
100,[1.17204173 0.74789315 0.55890028],[1.23941409 0.69159912 0.63935196],[1.28242203 0.63764562 0.69935488],[1.32047734 0.57830791 0.74730683],[1.33808239 0.52204052 0.78997676],[1.36410694 0.46691377 0.83565965],[1.40388738 0.41400753 0.8848885 ],[1.45331942 0.36520878 0.93581723],[1.50284079 0.31629166 0.98644406]
