210,[1.17204173 0.74789315 0.55890028],[1.13910703 0.79572788 0.50873706],[1.13249715 0.84840518 0.45868816],[1.16276492 0.89638544 0.40862419],[1.20630478 0.94837489 0.3586604 ],[1.25725547 0.99681026 0.31068278],[1.30566878 1.04849189 0.2999877 ],[1.35713142 1.09700162 0.33763285],[1.400847   1.14561899 0.38360691],[1.42665009 1.17770759 0.43284398],[1.43592999 1.20808515 0.48020118],[1.49339021 1.26158567 0.53187899]
220,[1.17204173 0.74789315 0.55890028],[1.13910703 0.79572788 0.50873706],[1.13249715 0.84840518 0.45868816],[1.16276492 0.89638544 0.40862419],[1.20630478 0.94837489 0.3586604 ],[1.25725547 0.99681026 0.31068278],[1.30566878 1.04849189 0.2999877 ],[1.35713142 1.09700162 0.33763285],[1.400847   1.14561899 0.38360691],[1.42665009 1.17770759 0.43284398],[1.43592999 1.20808515 0.48020118],[1.49339021 1.26158567 0.53187899]
230,[1.17204173 0.74789315 0.55890028],[1.13910703 0.79572788 0.50873706],[1.13249715 0.84840518 0.45868816],[1.16276492 0.89638544 0.40862419],[1.20630478 0.94837489 0.3586604 ],[1.25725547 0.99681026 0.31068278],[1.30566878 1.04849189 0.2999877 ],[1.35713142 1.09700162 0.33763285],[1.400847   1.14561899 0.38360691],[1.42665009 1.17770759 0.43284398],[1.43592999 1.20808515 0.48020118],[1.49339021 1.26158567 0.53187899]
240,[1.17204173 0.74789315 0.55890028],[1.13910703 0.79572788 0.50873706],[1.13249715 0.84840518 0.45868816],[1.16276492 0.89638544 0.40862419],[1.20630478 0.94837489 0.3586604 ],[1.25725547 0.99681026 0.31068278],[1.30566878 1.04849189 0.2999877 ],[1.35713142 1.09700162 0.33763285],[1.400847   1.14561899 0.38360691],[1.42665009 1.17770759 0.43284398],[1.43592999 1.20808515 0.48020118],[1.49339021 1.26158567 0.53187899]
250,[1.17204173 0.74789315 0.55890028],[1.13910703 0.79572788 0.50873706],[1.13249715 0.84840518 0.45868816],[1.16276492 0.89638544 0.40862419],[1.20630478 0.94837489 0.3586604 ],[1.25725547 0.99681026 0.31068278],[1.30566878 1.04849189 0.2999877 ],[1.35713142 1.09700162 0.33763285],[1.400847   1.14561899 0.38360691],[1.42665009 1.17770759 0.43284398],[1.43592999 1.20808515 0.48020118],[1.49339021 1.26158567 0.53187899]
260,[1.17204173 0.74789315 0.55890028],[1.13910703 0.79572788 0.50873706],[1.13249715 0.84840518 0.45868816],[1.16276492 0.89638544 0.40862419],[1.20630478 0.94837489 0.3586604 ],[1.25725547 0.99681026 0.31068278],[1.30566878 1.04849189 0.2999877 ],[1.35713142 1.09700162 0.33763285],[1.400847   1.14561899 0.38360691],[1.42665009 1.17770759 0.43284398],[1.43592999 1.20808515 0.48020118],[1.49339021 1.26158567 0.53187899]
270,[1.17204173 0.74789315 0.55890028],[1.13910703 0.79572788 0.50873706],[1.13249715 0.84840518 0.45868816],[1.16276492 0.89638544 0.40862419],[1.20630478 0.94837489 0.3586604 ],[1.25725547 0.99681026 0.31068278],[1.30566878 1.04849189 0.2999877 ],[1.35713142 1.09700162 0.33763285],[1.400847   1.14561899 0.38360691],[1.42665009 1.17770759 0.43284398],[1.43592999 1.20808515 0.48020118],[1.49339021 1.26158567 0.53187899]
280,[1.17204173 0.74789315 0.55890028],[1.13910703 0.79572788 0.50873706],[1.13249715 0.84840518 0.45868816],[1.16276492 0.89638544 0.40862419],[1.20630478 0.94837489 0.3586604 ],[1.25725547 0.99681026 0.31068278],[1.30566878 1.04849189 0.2999877 ],[1.35713142 1.09700162 0.33763285],[1.400847   1.14561899 0.38360691],[1.42665009 1.17770759 0.43284398],[1.43592999 1.20808515 0.48020118],[1.49339021 1.26158567 0.53187899]
290,[1.17204173 0.74789315 0.55890028],[1.13910703 0.79572788 0.50873706],[1.13249715 0.84840518 0.45868816],[1.16276492 0.89638544 0.40862419],[1.20630478 0.94837489 0.3586604 ],[1.25725547 0.99681026 0.31068278],[1.30566878 1.04849189 0.2999877 ],[1.35713142 1.09700162 0.33763285],[1.400847   1.14561899 0.38360691],[1.42665009 1.17770759 0.43284398],[1.43592999 1.20808515 0.48020118],[1.49339021 1.26158567 0.53187899]
300,[1.17204173 0.74789315 0.55890028],[1.13910703 0.79572788 0.50873706],[1.13249715 0.84840518 0.45868816],[1.16276492 0.89638544 0.40862419],[1.20630478 0.94837489 0.3586604 ],[1.25725547 0.99681026 0.31068278],[1.30566878 1.04849189 0.2999877 ],[1.35713142 1.09700162 0.33763285],[1.400847   1.14561899 0.38360691],[1.42665009 1.17770759 0.43284398],[1.43592999 1.20808515 0.48020118],[1.49339021 1.26158567 0.53187899]
