10000,[1.17204173 0.74789315],[1.22535846 0.70798804],[1.27340983 0.66092307],[1.32546503 0.61147573],[1.37446756 0.56454144],[1.40751708 0.52063027],[1.46687713 0.47437767],[1.46139499 0.42483345],[1.51457476 0.39415643],[1.47265522 0.35364525],[1.48035001 0.36366343]
20000,[1.17204173 0.74789315],[1.22533906 0.70808496],[1.27310413 0.66083106],[1.32526185 0.61200487],[1.35840167 0.57430909],[1.38339958 0.54233733],[1.44127816 0.49424587],[1.45708141 0.43807053],[1.50945383 0.40746061],[1.4636684  0.36452767],[1.47887216 0.36970936]
30000,[1.17204173 0.74789315],[1.22532823 0.70808822],[1.2730376  0.66082644],[1.32512528 0.61203747],[1.36092092 0.57259351],[1.40132558 0.52559455],[1.45824506 0.4788901 ],[1.4514324  0.42786088],[1.50440931 0.38960743],[1.45240467 0.34546238],[1.45019551 0.343305  ]
40000,[1.17204173 0.74789315],[1.22528411 0.70808438],[1.27287939 0.66084481],[1.3247706  0.61180905],[1.37767092 0.56419293],[1.41693641 0.5068602 ],[1.46322287 0.4749577 ],[1.4507351  0.42542664],[1.48667827 0.41092456],[1.45307738 0.35966569],[1.47315353 0.35630828]
50000,[1.17204173 0.74789315],[1.22533905 0.70808494],[1.27312805 0.66083945],[1.32535148 0.61184687],[1.37853199 0.56409979],[1.42204103 0.50408811],[1.44904439 0.49395375],[1.44520438 0.44604122],[1.42516368 0.48705876],[1.43807077 0.43383537],[1.44102607 0.45860876]
60000,[1.17204173 0.74789315],[1.22533917 0.70808438],[1.27313255 0.66084093],[1.3253541  0.61184023],[1.37740748 0.56396662],[1.42223136 0.50079536],[1.44490526 0.4979638 ],[1.44118622 0.44654724],[1.39764478 0.50681126],[1.42630665 0.44575942],[1.39872107 0.49504785]
70000,[1.17204173 0.74789315],[1.22341203 0.70901601],[1.27075556 0.66170679],[1.27918636 0.64634672],[1.32514365 0.59687779],[1.31164938 0.60286039],[1.32071612 0.57731502],[1.32064623 0.57695258],[1.31049593 0.56675846],[1.31830929 0.5614658 ],[1.3053478  0.55595106]
80000,[1.17204173 0.74789315],[1.22536152 0.70797238],[1.2734098  0.66092084],[1.3254842  0.61143443],[1.36651258 0.56926949],[1.3937967  0.53324949],[1.38502384 0.53815793],[1.39635534 0.50832111],[1.41777183 0.49723859],[1.42586451 0.4587332 ],[1.48418538 0.41905008]
90000,[1.17204173 0.74789315],[1.22531184 0.70797663],[1.27313914 0.66088604],[1.32509248 0.61159377],[1.36011497 0.57265801],[1.38154136 0.54287343],[1.356553   0.55381648],[1.36811692 0.5290131 ],[1.35521262 0.53767527],[1.35527609 0.51877027],[1.34896531 0.52636128]
100000,[1.17204173 0.74789315],[1.22538152 0.70786099],[1.27361798 0.66097734],[1.32569701 0.61082339],[1.37561491 0.56384595],[1.41022819 0.51757395],[1.41428819 0.51806609],[1.42404036 0.47986117],[1.43116148 0.48670286],[1.43213273 0.44855331],[1.44349044 0.45877967]
