10000,[1.17204173 0.74789315],[1.20771   0.6973139],[1.23407553 0.64424149],[1.26785728 0.58946029],[1.30566909 0.54125404],[1.34925356 0.4896827 ],[1.39270268 0.44134428],[1.42751029 0.39624406],[1.40910197 0.38181004],[1.40084505 0.36385829],[1.38867375 0.34781968],[1.3810898  0.33511592],[1.37152075 0.3192578 ]
20000,[1.17204173 0.74789315],[1.1263266  0.79577455],[1.07764179 0.84846247],[1.06834611 0.89562016],[1.11081757 0.94803359],[1.16246215 0.9953351 ],[1.21028257 1.04862966],[1.26490736 1.09691373],[1.31073704 1.15089525],[1.36793287 1.1985644 ],[1.4093737  1.25078979],[1.46904494 1.29760923],[1.42599843 1.30535939]
30000,[1.17204173 0.74789315],[1.12836208 0.79589184],[1.09790056 0.84915219],[1.13195137 0.89640651],[1.17799475 0.94957671],[1.23155229 0.99732245],[1.27914277 1.05349254],[1.33895962 1.10213788],[1.33504407 1.14630319],[1.39612122 1.19130011],[1.34717414 1.23833978],[1.4076552  1.27526281],[1.34844074 1.30345182]
40000,[1.17204173 0.74789315],[1.13730409 0.79578536],[1.10935949 0.8476269 ],[1.14774554 0.88294724],[1.16791384 0.9324676 ],[1.19542404 0.98064833],[1.22944021 1.03329823],[1.27343518 1.08081891],[1.28737725 1.11558343],[1.29239422 1.13164735],[1.29523109 1.15592389],[1.31588143 1.18173096],[1.31647144 1.20489744]
50000,[1.17204173 0.74789315],[1.17041941 0.79581955],[1.1922447  0.84852735],[1.22314863 0.89641227],[1.25136978 0.94843538],[1.28588128 0.99661682],[1.31760335 1.04831351],[1.35453342 1.09667455],[1.36601337 1.1348939 ],[1.36238749 1.15492902],[1.34923004 1.17063175],[1.34281898 1.18464206],[1.33490762 1.19576654]
60000,[1.17204173 0.74789315],[1.15147618 0.79576906],[1.13265205 0.84836774],[1.15963823 0.88915373],[1.16791349 0.93933283],[1.18344464 0.98878457],[1.19051822 1.04091211],[1.20514144 1.08878635],[1.20718171 1.12877869],[1.19105122 1.14201495],[1.18124888 1.16075237],[1.17104174 1.17225725],[1.16540001 1.18450651]
70000,[1.17204173 0.74789315],[1.17572798 0.79578809],[1.17604321 0.84838027],[1.1872671  0.89592661],[1.19173097 0.94784489],[1.20298057 0.99609901],[1.21126081 1.0476742 ],[1.22477494 1.09587462],[1.20929436 1.12714696],[1.18920238 1.14349228],[1.17283139 1.16391863],[1.15722656 1.17805471],[1.14496589 1.19263461]
80000,[1.17204173 0.74789315],[1.18185263 0.79579753],[1.190676   0.84839668],[1.2104707  0.89636585],[1.23067627 0.94827715],[1.26012582 0.99655496],[1.2888187  1.04790068],[1.29524   1.0780465],[1.27516724 1.09553948],[1.26829679 1.11347975],[1.25651023 1.12755719],[1.24882539 1.14217378],[1.24161525 1.15230609]
90000,[1.17204173 0.74789315],[1.17932711 0.79579756],[1.18532338 0.84838722],[1.20240335 0.89633077],[1.22308797 0.94822655],[1.2541315  0.99651259],[1.28585472 1.04788153],[1.29519494 1.07789069],[1.27736793 1.09448745],[1.27237741 1.11134881],[1.26261716 1.1243797 ],[1.25657943 1.13817891],[1.25109979 1.14725646]
100000,[1.17204173 0.74789315],[1.17922496 0.79582077],[1.18481559 0.84835226],[1.20368351 0.89631037],[1.22448788 0.94815121],[1.25469407 0.99648509],[1.28503981 1.0478094 ],[1.29389536 1.07846596],[1.27541234 1.09521594],[1.270286   1.11224141],[1.26040236 1.12527676],[1.25447059 1.13904563],[1.24910516 1.14806855]
110000,[1.17204173 0.74789315],[1.17824078 0.79581606],[1.18355925 0.84834805],[1.2014622  0.89624877],[1.22184162 0.94809503],[1.25233287 0.99642676],[1.28334841 1.04778032],[1.2934002  1.07853598],[1.27568667 1.0952217 ],[1.27093177 1.11191   ],[1.26162147 1.12476544],[1.25605308 1.13832008],[1.25109989 1.14715738]
