190000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
200000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
210000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
220000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
230000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
240000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
250000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
260000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
270000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
280000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
