10000,[1.17204173 0.74789315],[1.21146338 0.7913055 ],[1.24413554 0.83882036],[1.25889441 0.88589782],[1.25240428 0.93432249],[1.23199115 0.97823512],[1.19019292 0.98480546],[1.15729274 0.99689698],[1.12798778 1.0068143 ],[1.10191385 1.01387387],[1.07935552 1.01886965],[1.06200255 1.02169075],[1.048282   1.02154159]
20000,[1.17204173 0.74789315],[1.22938333 0.78083667],[1.2705877  0.82883317],[1.24891445 0.8271084 ],[1.23697964 0.82855507],[1.22937927 0.83229137],[1.22399879 0.83652038],[1.21987207 0.84057536],[1.21648276 0.84422451],[1.21357006 0.84740958],[1.21100448 0.85014588],[1.20871762 0.85247623],[1.20666841 0.85445041]
30000,[1.17204173 0.74789315],[1.21756355 0.7795425 ],[1.24032468 0.8260407 ],[1.21436423 0.82688038],[1.1969224 0.8308143],[1.1842013  0.83593788],[1.17419035 0.84125051],[1.16589704 0.84633948],[1.15877863 0.85102489],[1.15238817 0.85517484],[1.14673923 0.85887618],[1.14103692 0.8620198 ],[1.13567491 0.86470095]
40000,[1.17204173 0.74789315],[1.23375658 0.78197499],[1.2767111 0.8285437],[1.30131075 0.85976369],[1.29776257 0.86583603],[1.29294202 0.87000739],[1.2877454  0.87308722],[1.28260149 0.87551055],[1.27771146 0.87751679],[1.27315863 0.87923882],[1.26896711 0.88075251],[1.26513244 0.88210332],[1.26163694 0.88332027]
50000,[1.17204173 0.74789315],[1.23396497 0.78212585],[1.27704421 0.82858565],[1.30378002 0.86146738],[1.30034708 0.86745885],[1.2955647  0.87149942],[1.29038423 0.87444373],[1.28525263 0.87674114],[1.28037583 0.87863398],[1.27583756 0.88025443],[1.27166144 0.88167693],[1.26784236 0.88294553],[1.26436221 0.88408804]
60000,[1.17204173 0.74789315],[1.23396283 0.78213634],[1.27704811 0.8285926 ],[1.30387514 0.86154448],[1.30045493 0.8675371 ],[1.29568012 0.871575  ],[1.29050542 0.87451564],[1.28537881 0.87680918],[1.28050653 0.87869825],[1.27597247 0.88031509],[1.27180029 0.88173419],[1.26798493 0.88299956],[1.26450827 0.88413902]
70000,[1.17204173 0.74789315],[1.2339628  0.78213629],[1.27704808 0.82859257],[1.30387787 0.86154683],[1.30045931 0.86754097],[1.29568635 0.87158061],[1.29051368 0.87452317],[1.28538919 0.87681877],[1.28051915 0.87870999],[1.27598734 0.88032907],[1.27181745 0.88175045],[1.26800438 0.88301815],[1.26453003 0.88415996]
80000,[1.17204173 0.74789315],[1.23396283 0.78213636],[1.27704811 0.8285926 ],[1.30387521 0.86154455],[1.30045501 0.86753717],[1.29568022 0.87157509],[1.29050559 0.87451578],[1.28537904 0.87680938],[1.28050688 0.87869854],[1.27597294 0.8803155 ],[1.27180089 0.88173471],[1.26798569 0.88300023],[1.2645092  0.88413986]
90000,[1.17204173 0.74789315],[1.23396278 0.78213636],[1.277048  0.8285926],[1.30387513 0.8615446 ],[1.30045485 0.86753718],[1.29567997 0.87157503],[1.29050524 0.87451564],[1.28537857 0.87680916],[1.28050626 0.87869821],[1.27597217 0.88031504],[1.27179995 0.88173411],[1.26798457 0.88299948],[1.26450789 0.88413894]
100000,[1.17204173 0.74789315],[1.2339628  0.78213636],[1.27704804 0.8285926 ],[1.30387491 0.86154439],[1.30045438 0.86753679],[1.29567927 0.87157451],[1.29050435 0.87451501],[1.28537748 0.87680842],[1.28050498 0.87869736],[1.27597069 0.88031411],[1.27179827 0.88173309],[1.26798272 0.88299839],[1.26450586 0.88413776]
110000,[1.17204173 0.74789315],[1.23396278 0.78213636],[1.27704801 0.82859261],[1.3038751  0.86154457],[1.30045481 0.86753713],[1.2956799  0.87157497],[1.29050512 0.87451555],[1.28537841 0.87680905],[1.28050606 0.87869806],[1.27597192 0.88031487],[1.27179962 0.88173388],[1.26798415 0.8829992 ],[1.2645074 0.8841386]
120000,[1.17204173 0.74789315],[1.23396271 0.78213635],[1.27704784 0.82859259],[1.30387361 0.86154357],[1.30045135 0.86753481],[1.29567471 0.87157157],[1.29049825 0.87451118],[1.28536987 0.87680377],[1.28049582 0.8786919 ],[1.27595995 0.88030788],[1.27178595 0.88172611],[1.26796883 0.88299073],[1.26449055 0.88412959]
130000,[1.17204173 0.74789315],[1.23384448 0.78213423],[1.27679632 0.82859032],[1.30363837 0.86166165],[1.30015102 0.86769327],[1.29530648 0.87176708],[1.29006014 0.87474176],[1.28486109 0.87706811],[1.27991625 0.87898903],[1.27530989 0.88063694],[1.27106567 0.88208632],[1.26717892 0.8833813 ],[1.26363174 0.88454967]
140000,[1.17204173 0.74789315],[1.23395979 0.78213594],[1.27704098 0.82859242],[1.30385623 0.86153908],[1.30042754 0.86753075],[1.29564541 0.87156902],[1.29046363 0.87451068],[1.28532992 0.87680563],[1.2804505  0.87869638],[1.27590921 0.88031514],[1.27172971 0.88173631],[1.26790696 0.88300391],[1.26442285 0.8841457 ]
150000,[1.17204173 0.74789315],[1.23396904 0.78212793],[1.27705003 0.82858589],[1.30378684 0.86146927],[1.3003224  0.86743814],[1.29551528 0.8714626 ],[1.29031401 0.87439488],[1.28516404 0.87668295],[1.28027041 0.87856828],[1.27571634 0.88018253],[1.27152515 0.88159981],[1.26769158 0.88286396],[1.26419742 0.88400266]
160000,[1.17204173 0.74789315],[1.23396128 0.78213636],[1.27704442 0.82859256],[1.30387084 0.86154651],[1.30044823 0.86754029],[1.29567079 0.8715795 ],[1.29049326 0.87452157],[1.28536361 0.87681664],[1.28048813 0.8787073 ],[1.27595068 0.88032581],[1.27177497 0.88174662],[1.26795595 0.88301378],[1.26447555 0.88415508]
170000,[1.17204173 0.74789315],[1.23396066 0.78213619],[1.27704322 0.8285925 ],[1.30386591 0.86154345],[1.30044262 0.86753647],[1.29566487 0.87157509],[1.29048725 0.87451662],[1.28535768 0.87681118],[1.28048242 0.87870136],[1.2759453  0.88031936],[1.27177002 0.88173966],[1.2679515  0.88300626],[1.26447167 0.88414698]
180000,[1.17204173 0.74789315],[1.23395869 0.78213563],[1.27704013 0.82859238],[1.30385285 0.86153531],[1.30042839 0.86752728],[1.29565028 0.87156526],[1.29047268 0.87450627],[1.28534336 0.87680032],[1.28046853 0.87868997],[1.27593201 0.88030746],[1.27175741 0.88172717],[1.26793971 0.88299319],[1.2644608  0.88413332]
190000,[1.17204173 0.74789315],[1.23396201 0.78213573],[1.2770465  0.82859248],[1.30385949 0.86153364],[1.30043512 0.86752438],[1.29565698 0.87156116],[1.29047967 0.87450129],[1.28535093 0.87679473],[1.28047681 0.87868389],[1.27594106 0.88030095],[1.2717673 0.8817203],[1.26795039 0.88298594],[1.26447223 0.88412568]
200000,[1.17204173 0.74789315],[1.23396961 0.78212797],[1.27705331 0.82858638],[1.30383624 0.86150413],[1.30041052 0.86749694],[1.29563113 0.87153572],[1.29045255 0.87447764],[1.28532229 0.8767725 ],[1.28044651 0.87866282],[1.27590909 0.88028088],[1.27173366 0.88170112],[1.26791518 0.88296761],[1.26443551 0.88410814]
210000,[1.17204173 0.74789315],[1.23397036 0.78212853],[1.27705493 0.82858652],[1.30385008 0.86151365],[1.30042616 0.86750671],[1.29564819 0.87154539],[1.2904708  0.87448703],[1.28534162 0.87678153],[1.28046691 0.87867148],[1.27593052 0.88028915],[1.27175609 0.88170898],[1.2679385 0.882975 ],[1.26445968 0.88411504]
220000,[1.17204173 0.74789315],[1.23396745 0.78212566],[1.27705019 0.82858608],[1.3038027 0.861479 ],[1.30037796 0.86747411],[1.29559978 0.87151514],[1.29042179 0.87445863],[1.28529176 0.87675459],[1.28041604 0.87864572],[1.27587854 0.88026437],[1.27170304 0.88168509],[1.26788448 0.88295197],[1.2644049  0.88409293]
230000,[1.17204173 0.74789315],[1.23396639 0.78213414],[1.27704748 0.82858984],[1.3038322  0.86150862],[1.30040586 0.86749879],[1.29562735 0.87153629],[1.29045005 0.87447746],[1.28532102 0.87677173],[1.2804464  0.87866157],[1.27591    0.88027923],[1.2717355  0.88169916],[1.26791782 0.88296539],[1.26443887 0.88410573]
240000,[1.17204173 0.74789315],[1.23396609 0.78213471],[1.27704857 0.82859039],[1.30384635 0.86151893],[1.30042397 0.86751071],[1.29564827 0.87154879],[1.29047319 0.87449001],[1.28534629 0.87678421],[1.28047371 0.87867386],[1.27593925 0.88029124],[1.27176663 0.8817108 ],[1.26795082 0.88297664],[1.26447375 0.88411659]
